"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Formic Acid";"1000,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-10 22:58:04";"2024-08-10 22:58:04"
"Sodium Sulfat";"500,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:58:48";"2024-08-10 22:58:48"
"1.10-Phenanthroline Monohydrate";"0,00";"Rak Stok (Kayu Putih)";"Cair";"2024-08-10 22:58:56";"2024-08-10 22:58:56"
"Logam Zn";"100,00";"Rak Besi + Rak Besi Stok";"Padat";"2024-08-10 22:59:30";"2024-08-10 22:59:30"
"Media EC Broth";"500,00";"Rak Besi";"Padat";"2024-08-10 23:00:12";"2024-08-10 23:00:12"
"Reagen Bang";"100,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-10 23:00:44";"2024-08-10 23:00:44"
"Trichloroacetic";"100,00";"Lemari Kayu Berpintu";"Padat";"2024-08-10 23:01:08";"2024-08-10 23:01:08"
"Phenol";"250,00";"Lemari Kayu Berpintu";"Padat";"2024-08-10 23:03:16";"2024-08-10 23:03:16"
"PDA Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:05:34";"2024-08-12 16:05:34"
"EMB Agar";"1000,00";"-";"Padat";"2024-08-12 16:05:58";"2024-08-12 16:13:37"
"Nutrient Agar (NA)";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:06:50";"2024-08-12 16:06:50"
"Nutrient Broth (NB) Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:07:25";"2024-08-12 16:07:25"
"Selenith Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:07:50";"2024-08-12 16:07:50"
"Simmon's Citrat Agar";"1000,00";"-";"Padat";"2024-08-12 16:08:22";"2024-08-12 16:09:18"
"MHA";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:10:08";"2024-08-12 16:10:08"
"Brillian Green Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:12:45";"2024-08-12 16:12:45"
"VP-MR Medium";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:13:12";"2024-08-12 16:13:12"
"Lactose Broth Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:15:12";"2024-08-12 16:15:12"
"Tryptone Soya Broth";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:15:49";"2024-08-12 16:15:49"
"Peptone Water Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:16:17";"2024-08-12 16:16:17"
"SIM Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:16:37";"2024-08-12 16:16:37"
"Mac Conkey Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:17:03";"2024-08-12 16:17:03"
"TSIA Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:17:32";"2024-08-12 16:17:32"
"TCBS Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:17:55";"2024-08-12 16:17:55"
"Sabaroad Dextrose Agar (SDA)";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:18:27";"2024-08-12 16:18:27"
"Mannitol Salt Agar (MSA)";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:19:23";"2024-08-12 16:19:23"
"Endo Agar";"500,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:19:43";"2024-08-12 16:19:43"
"Safranin";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:20:30";"2024-08-12 16:20:30"
"Eosin";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:20:53";"2024-08-12 16:20:53"
"Asam Piruvat";"25,00";"Rak Besi Stok";"Cair";"2024-08-12 16:21:24";"2024-08-12 16:21:24"
"Erlich Reagen";"50,00";"Rak Besi Stok";"Cair";"2024-08-12 16:22:02";"2024-08-12 16:22:02"
"Larutan Giemsa";"200,00";"Rak Besi Stok";"Cair";"2024-08-12 16:22:50";"2024-08-12 16:22:50"
"Ammonium Oksalat";"200,00";"Rak Besi Stok";"Cair";"2024-08-12 16:23:28";"2024-08-12 16:23:28"
"Reagen Barfoed";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:24:01";"2024-08-12 16:24:01"
"Reagen Millon";"300,00";"Rak Besi Stok";"Cair";"2024-08-12 16:24:30";"2024-08-12 16:24:30"
"Reagen Wagner";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:24:56";"2024-08-12 16:24:56"
"Reagen Biuret";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:25:21";"2024-08-12 16:25:21"
"Ammonium Iron";"50,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:26:02";"2024-08-12 16:26:02"
"Eriochrone";"4,00";"Rak Stok (Kayu Putih)";"Padat";"2024-08-12 16:26:41";"2024-08-12 16:26:41"
"Pereaksi Marquis";"100,00";"Rak Besi Stok";"Cair";"2024-08-12 16:27:16";"2024-08-12 16:27:16"
"Acetaldehyde Solution";"500,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-12 18:02:14";"2024-08-12 18:02:14"
"Aceton";"1000,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-08-12 18:04:15";"2024-08-12 18:04:15"
"Alumunium Chloride";"500,00";"Rak Besi";"Padat";"2024-08-12 18:25:08";"2024-08-12 18:25:08"
"Hidroclorida Acid Fuming 37%";"2500,00";"Rak Besi";"Cair";"2024-08-12 18:45:41";"2024-08-12 18:45:41"
"MHA";"500,00";"Rak Besi";"Padat";"2024-08-12 18:46:05";"2024-08-12 18:46:05"
"Nutrient Broth (NB) EXP 2026";"500,00";"Rak Besi";"Padat";"2024-08-12 18:47:03";"2024-08-12 18:47:03"
"PDA Agar EXP 2026";"500,00";"Rak Besi";"Padat";"2024-08-12 18:47:48";"2024-08-12 18:47:48"
"LPCB";"500,00";"Rak Besi";"Cair";"2024-08-12 18:48:15";"2024-08-12 18:48:15"
"Ferric Nitrate Nanohydrate EXP 2027";"500,00";"Rak Besi";"Padat";"2024-08-12 18:49:03";"2024-08-12 18:49:03"
"N-(1-Naphthyl) ethylenediamine dihydro-chloride";"25,00";"Rak Besi";"Padat";"2024-08-12 18:50:18";"2024-08-12 18:50:18"
"FeCl3";"5,00";"Lemari Kayu Berpintu";"Padat";"2024-08-12 18:51:05";"2024-08-12 18:51:05"
"Indikator Ferroin";"100,00";"Rak Besi";"Cair";"2024-08-12 18:51:41";"2024-08-12 18:51:41"
"Buffer PBS pH 7,4 EXP 2024";"50,00";"Rak Besi";"Cair";"2024-08-12 18:52:27";"2024-08-12 18:52:27"
"Larutan PBS";"200,00";"Rak Besi Stok";"Cair";"2024-08-12 18:53:07";"2024-08-12 18:53:07"
"Buffer Ammonium pH 7";"10,00";"Lemari Kayu Berpintu";"Cair";"2024-08-12 18:53:45";"2024-08-12 18:53:45"
"Reagen Barfoed";"80,00";"Lemari Kayu Berpintu";"Cair";"2024-08-12 18:56:10";"2024-08-12 18:56:10"
"Natrium Dithionite/Sodium Dithionite";"50,00";"Lemari Kayu Berpintu";"Padat";"2024-08-12 18:57:09";"2024-08-12 18:57:09"
"Methyl Red/Metil Merah EXP 2025";"100,00";"Rak Besi";"Cair";"2024-08-12 18:58:01";"2024-08-12 18:58:01"
"Larutan Eosin";"200,00";"Rak Besi";"Cair";"2024-08-12 18:58:37";"2024-08-12 18:58:37"
"Reagen Toluene";"200,00";"Rak Besi";"Cair";"2024-08-12 18:59:06";"2024-08-12 18:59:06"
"Chlorpeniramine";"100,00";"Rak Besi Stok";"Padat";"2024-08-14 16:31:01";"2024-08-14 16:31:01"
"Codein";"50,00";"Rak Besi Stok";"Padat";"2024-08-14 16:31:45";"2024-08-14 16:31:45"
"Cravit";"1000,00";"Rak Besi Stok";"Padat";"2024-08-14 16:32:19";"2024-08-14 16:32:19"
"Efedrin";"2100,00";"Rak Besi Stok";"Padat";"2024-08-14 16:33:05";"2024-08-14 16:33:05"
"Gliceryl Guaiacolat (GG)";"2300,00";"Rak Besi Stok";"Padat";"2024-08-14 16:35:29";"2024-08-14 16:35:29"
"Salbutamol";"1000,00";"Rak Besi Stok";"Padat";"2024-08-14 16:36:03";"2024-08-14 16:36:03"
"Pehacort";"150,00";"Rak Besi Stok";"Padat";"2024-08-14 16:36:39";"2024-08-14 16:36:39"
