"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Dextrosa";"0,00";"-";"Padat";\N;\N
"D-Glucose anhydrous";"1250,00";"-";"Padat";\N;"2024-08-09 17:24:34"
"Dinatrium EDTA";"500,00";"Rak Besi";"Padat";\N;"2024-08-07 19:42:46"
"di-Potassium hydrogen";"0,00";"-";"Padat";\N;\N
"di-Potassium hydrogen phosphat";"0,00";"-";"Padat";\N;\N
"FeCl3";"2400,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 17:25:14"
"FeNO3";"90,00";"Rak Besi";"Padat";\N;\N
"Ferrous Sulphate";"500,00";"Rak Besi";"Padat";\N;\N
"FeSO4";"0,00";"-";"Padat";\N;\N
"Gelatin";"2600,00";"-";"Padat";\N;"2024-08-09 17:26:11"
"Gliserin Guaia";"500,00";"Rak Besi";"Padat";\N;\N
"Glukosa";"2300,00";"-";"Padat";\N;"2024-08-09 17:42:24"
"GOM";"5500,00";"Rak Besi";"Padat";\N;"2024-08-09 17:43:39"
"Hancol";"0,00";"-";"Padat";\N;\N
"HPMC";"2000,00";"-";"Padat";\N;"2024-08-09 17:45:34"
"Hydrocortisone";"800,00";"Rak Besi";"Padat";\N;\N
"Ibuprofen";"3500,00";"-";"Padat";\N;"2024-08-09 17:46:00"
"Iodium";"700,00";"Rak Besi";"Padat";\N;"2024-08-07 19:45:45"
"Iron (III) Amonium Sulfate";"500,00";"Rak Besi";"Padat";\N;"2024-08-09 17:46:35"
"K2CrO4";"200,00";"-";"Padat";\N;"2024-08-08 18:25:24"
"Kalium Bromat";"100,00";"Rak Besi";"Padat";\N;\N
"Kalium dikromat";"0,00";"-";"Padat";\N;\N
"Kalium permanganat";"250,00";"Rak Besi";"Padat";\N;"2024-08-07 19:46:22"
"Karagenin";"1500,00";"Rak Besi";"Padat";\N;"2024-08-09 17:47:27"
"Karbon aktif";"2100,00";"Rak Besi";"Padat";\N;"2024-08-09 17:47:46"
"Karmin";"1000,00";"Rak Besi";"Padat";\N;\N
"KCl";"850,00";"-";"Padat";\N;"2024-08-09 17:49:44"
"KH2PO4";"500,00";"-";"Padat";\N;"2024-08-08 18:26:24"
"KMnO4";"550,00";"-";"Padat";\N;"2024-08-09 17:50:28"
"KOH";"500,00";"-";"Padat";\N;"2024-08-09 17:51:03"
"Laktosa";"600,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-07 19:48:20"
"Lanolin";"4000,00";"-";"Padat";\N;"2024-08-09 17:53:50"
"Lead (II) Acetat Trihydrate";"250,00";"Rak Besi";"Padat";\N;\N
"Lead (II) Nitrat";"50,00";"Rak Besi";"Padat";\N;\N
"Logam Al";"0,00";"-";"Padat";\N;\N
"Magnesium";"300,00";"Rak Besi";"Padat";\N;\N
"Magnesium ribbon";"0,00";"-";"Padat";\N;\N
"Magnesium serbuk";"0,00";"-";"Padat";\N;\N
"Magnesium stearat";"5000,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 17:54:23"
"Magnesium sulfat";"100,00";"-";"Padat";\N;"2024-08-09 17:57:53"
"Magnesium sulfat heptahidrat";"0,00";"-";"Padat";\N;\N
"Menthol";"1500,00";"-";"Padat";\N;"2024-08-08 18:26:52"
"Mercury (II) Chloride";"0,00";"-";"Padat";\N;\N
"Mercury (II) Nitrat";"50,00";"-";"Padat";\N;"2024-08-09 17:58:28"
"Methyl red";"100,00";"-";"Padat";\N;"2024-08-08 18:27:24"
"Metyl morfin";"0,00";"-";"Padat";\N;\N
"Metyl paraben";"3000,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 17:59:19"
"Na Carbonate";"0,00";"-";"Padat";\N;\N
"Na CMC";"800,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-07 19:50:16"
"Na EDTA";"1500,00";"-";"Padat";\N;"2024-08-09 18:00:47"
"Na2S2O2";"1000,00";"Rak Besi";"Padat";\N;\N
"NaCl";"2800,00";"-";"Padat";\N;"2024-08-09 18:01:27"
"NaOH";"5000,00";"-";"Padat";\N;"2024-08-09 18:02:57"
"NaOH 98%";"0,00";"-";"Padat";\N;"2024-08-09 18:03:15"
"Natrium tiosulfat";"1500,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-08 18:29:40"
"Natrium asetat";"750,00";"-";"Padat";\N;"2024-08-09 18:04:12"
"Natrium Benzoat";"1000,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-10 16:12:41"
"Natrium bikarbonat";"1950,00";"-";"Padat";\N;"2024-08-10 16:13:33"
